text,class
" Его холдинговая компания Nord Stream AG была зарегистрирована в 2005 году в Швейцарии в партнерстве с ""Газпромом"".",1
"Трепещу, томлюсь, немею…",0
"Наконец и сам попался,",0
" Американские взрывные устройства необходимо было замаскировать таким образом, чтобы российским системам они казались частью естественного фона.",1
" Швеция подала заявку на вступление в альянс и продемонстрировала большое мастерство в управлении своими подводными звуковыми и магнитными сенсорными системами, успешно следившими за российскими подводными лодками, которые время от времени появлялись в дальних водах шведского архипелага и иногда всплывали на поверхность.",1
"Снег затмивший белизной,",0
Меж двух простынь на мягких тюфяках.,0
"Выступая на слушаниях в сенатском комитете по международным отношениям в конце января, она сказала сенатору Теду Крузу: ""Я полагаю, вся администрация, как и вы, вполне удовлетворена тем, что ""Северный поток"" превратился в груду металла на дне моря"".",1
Не мрамор там прельстил бы ваши взоры,0
«Последуй лишь примеру моему». —,0
"""Легенда была отличная, - продолжил источник. - За ней стояла секретная операция, в которой участвовали эксперты, и применялось оборудование, работающее по скрытому сигналу"".",1
" том, проводить операцию или нет.",1
Моря не перешагнуть.,0
"Опубликовано видео, на котором показаны разрушения на ""Северных потоках"" после диверсии / Авторы: соцсети",1
"Знай, Наталья! – я… монах!",0
" За разоблачение слежки русские заплатили ему всего пять тысяч долларов, а также 35 тысяч за другие предоставленные оперативные данные, впоследствии так и не обнародованные.",1
Где безмолвья вечный мрак;,0
"Об этом рассказал источник, непосредственно",1
"Взад и вперед со страхом оглянулся,",0
"Администрация снова сосредоточила внимание на ""Северном потоке"".",1
"Из Катонов я в отставку,",0
"Взглянь на стены возвышенны,",0
" Постол, в прошлом научный советник главы военно-морских операций Пентагона, сказал, что проблема, вставшая перед группой в Норвегии из-за промедлений Байдена, сводилась к случайности: ""Чем дольше взрывчатые вещества находятся в воде, тем выше риск, что бомбы подорвет некий случайный сигнал"".",1
"А ты, Монах, мятежный езуит!",0
"Изъяснять любовну муку,",0
Чуть слабый свет вокруг себя лиет;,0
"На лавку сел, потер глаза, зевнул,",0
"представителей, или так называемую ""банду восьми"".",1
"Однако в начале 2022 года рабочая группа ЦРУ доложила межведомственной группе Салливана: ""Мы нашли способ взорвать трубопроводы"".",1
Сеймур Хёрш:,1
"Ранее тайные распоряжения президента стали дилеммой для ЦРУ в дни войны во Вьетнаме, когда в разгар антивоенных настроений президент Джонсон приказал ЦРУ нарушить свой же устав и наладить слежку за лидерами пацифистов, чтобы убедиться, что за ними не стоит коммунистическая Россия.",1
"""Это было все равно, что выкатить в Токио атомную бомбу и сказать японцам, что мы собираемся ее взорвать, - сказал источник.",1
Норвежские ВМС быстро нашли подходящее место - на мелководье Балтийского моря в нескольких километрах от датского острова Борнхольм.,1
"Так и мне узнать случилось,",0
"Отвечая на пресс-конференции в конце сентября прошлого года на вопрос о последствиях обострения энергетического кризиса в Западной Европе, Блинкен охарактеризовал этот момент как потенциально благоприятный:",1
"Сон ленивый, томноокой",0
"Люблю тебя, о юбка дорогая,",0
"В июне прошлого года боевые пловцы ВМС, действуя под прикрытием широко разрекламированных учений НАТО BALTOPS 22, установили взрывные устройства",1
Сердец и душ смиренный повелитель…,0
Луна в окно Монаха осветила. —,0
"«Уж будешь мой», – он сам с собой ворчит.",0
" ""Неважно, справедливо ли это или нет, правила и принципы работы ЦРУ отличаются от любой другой части правительства"", - заявил он.",1
На лампады там зажженны…,0
"Где кисть твоя, скажи, ужели ввек",0
 В мае администрация совершила поразительный разворот на 180 градусов и отменила санкции против Nord Stream AG.,1
" Пресс-секретарь ЦРУ Тамми Торп (Tammy Thorp) сделала то же самое, заявив: ""Эти утверждения - полная и абсолютная ложь"".",1
Страсть сильнее становится,0
" На последовавшем брифинге для прессы Байден вызывающе заявил: ""Если Россия вторгнется, ""Северного потока-2"" больше не будет. Мы с ним покончим"".",1
" Между Россией и НАТО постоянно усиливалась напряженность, чему способствовала агрессивная внешняя политика администрации Байдена.",1
 Они выходят из двух разных портов на северо-востоке России (так в тексте - прим. ИноСМИ),1
"– Кто же ты, болтун влюбленный?",0
"Даже если кому-то приходится вступать в ряды менее ""престижного"" командования надводного судна, ему всегда найдется местечко на каком-нибудь эсминце, крейсере или десантном корабле.",1
Удержать умильным взором.,0
,1
"В неопубликованных показаниях за закрытыми дверями Хелмс с сожалением объяснил, что ""когда вы выполняете тайный приказ президента, выходит практически непорочное зачатие"".",1
" В соответствии с ним правовая система США получала возможность рассматривать дела американских солдат, обвиняемых в совершении преступлений за пределами военной базы в определенных ""оговоренных районах"", а также дела граждан Норвегии, обвиняемых или подозреваемых в препятствовании работе на этой базе.",1
Норвегия оказалась идеальным местом для базирования миссии.,1
"Через несколько часов сработала мощная взрывчатка С-4, и три из четырех трубопроводов оказались выведены из строя.",1
"Легкой, миленькой Розины,",0
Скромный мрак безмолвной ночи —,0
Было слишком много вопросов без ответов.,1
"Красней теперь, коль ты краснеть умеешь,",0
